name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,severerisk,sunrise,sunset,conditions,icon
choondacherry,14-04-2002,89,77.6,83.8,69.8,0.056,100,8.33,rain,,11.4,270,1010.1,47.1,,,2002-04-14T06:13:37,2002-04-14T18:33:26,"Rain, Partially cloudy",rain
choondacherry,15-04-2002,89.9,80,84.6,73.8,0,0,0,,,11.4,251.4,1010.1,50,,,2002-04-15T06:13:06,2002-04-15T18:33:27,Partially cloudy,partly-cloudy-day
choondacherry,16-04-2002,91.1,79.1,85.6,73.7,0,0,0,,,11.4,307.5,1009.9,50,,,2002-04-16T06:12:37,2002-04-16T18:33:28,Partially cloudy,partly-cloudy-day
choondacherry,17-04-2002,90.8,78.5,85.1,74.8,0,0,0,,,9.2,262.8,1009.1,51.3,,,2002-04-17T06:12:07,2002-04-17T18:33:29,Partially cloudy,partly-cloudy-day
choondacherry,18-04-2002,91.1,81.8,85.9,74.9,0,0,0,,,11.4,270,1008,50,,,2002-04-18T06:11:39,2002-04-18T18:33:30,Partially cloudy,partly-cloudy-day
choondacherry,19-04-2002,90.2,81.2,85.8,72.8,0.056,100,8.33,rain,,11.4,261.1,1008.4,50,,,2002-04-19T06:11:10,2002-04-19T18:33:32,"Rain, Partially cloudy",rain
choondacherry,20-04-2002,90.2,78.9,83.5,76.3,0.709,100,4.17,rain,,9.2,312.7,1010,52.5,,,2002-04-20T06:10:42,2002-04-20T18:33:34,"Rain, Partially cloudy",rain
choondacherry,21-04-2002,89,75.8,82.4,81,0.63,100,4.17,rain,,11.4,270,1009.4,76.7,,,2002-04-21T06:10:15,2002-04-21T18:33:37,"Rain, Partially cloudy",rain
choondacherry,22-04-2002,88.4,77.3,83.5,75.9,0,0,0,,,11.4,320,1009.1,70,,,2002-04-22T06:09:48,2002-04-22T18:33:40,Partially cloudy,partly-cloudy-day
choondacherry,23-04-2002,90.8,77.6,85,75.6,0.004,100,4.17,rain,,11.4,320,1008.1,48.8,,,2002-04-23T06:09:22,2002-04-23T18:33:43,"Rain, Partially cloudy",rain
choondacherry,24-04-2002,90.8,80.7,86.2,74.5,0.012,100,12.5,rain,,9.2,277.6,1007.7,50,,,2002-04-24T06:08:56,2002-04-24T18:33:46,"Rain, Partially cloudy",rain
choondacherry,25-04-2002,89.9,82.7,86.5,77.3,0,0,0,,,6.9,320,1007.8,51.4,,,2002-04-25T06:08:31,2002-04-25T18:33:50,Partially cloudy,partly-cloudy-day
choondacherry,26-04-2002,91.1,83,86.8,73.4,0,0,0,,,11.4,270,1007.3,55,,,2002-04-26T06:08:06,2002-04-26T18:33:54,Partially cloudy,partly-cloudy-day
choondacherry,27-04-2002,89.7,80.9,84.7,80.9,0.158,100,8.33,rain,,6.9,270,1007.9,72.9,,,2002-04-27T06:07:42,2002-04-27T18:33:59,"Rain, Partially cloudy",rain
choondacherry,28-04-2002,89.9,80,85.2,77,0.508,100,8.33,rain,,11.4,270,1007.8,62.9,,,2002-04-28T06:07:19,2002-04-28T18:34:04,"Rain, Partially cloudy",rain
choondacherry,29-04-2002,91.1,80.9,87.4,75.1,0.158,100,8.33,rain,,11.4,282.8,1006.8,54.3,,,2002-04-29T06:06:56,2002-04-29T18:34:09,"Rain, Partially cloudy",rain
choondacherry,30-04-2002,91.7,83.9,87.9,74,0,0,0,,,13.9,324.2,1005.3,50,,,2002-04-30T06:06:34,2002-04-30T18:34:15,Partially cloudy,partly-cloudy-day
choondacherry,01-05-2002,91.7,84.3,87.5,74.9,0,0,0,,,13.9,280.1,1005.2,55,,,2002-05-01T06:06:13,2002-05-01T18:34:21,Partially cloudy,partly-cloudy-day
choondacherry,02-05-2002,93.3,82.7,87.1,73.3,0,0,0,,,9.2,284.4,1004.8,63.8,,,2002-05-02T06:05:52,2002-05-02T18:34:28,Partially cloudy,partly-cloudy-day
choondacherry,03-05-2002,89.7,78.5,82.3,85.7,0.508,100,16.67,rain,,6.9,215.5,1006.4,72.9,,,2002-05-03T06:05:32,2002-05-03T18:34:35,"Rain, Partially cloudy",rain
choondacherry,04-05-2002,86.6,77.6,80.9,83.3,0.867,100,16.67,rain,,13.9,119.6,1007.6,92,,,2002-05-04T06:05:13,2002-05-04T18:34:42,"Rain, Overcast",rain
choondacherry,05-05-2002,91.5,78.2,85.6,71.8,0.118,100,4.17,rain,,11.4,146.2,1006.6,71.4,,,2002-05-05T06:04:54,2002-05-05T18:34:50,"Rain, Partially cloudy",rain
choondacherry,06-05-2002,91.1,79.4,83.9,78.8,0.257,100,33.33,rain,,6.9,180.9,1007.2,76.3,,,2002-05-06T06:04:36,2002-05-06T18:34:58,"Rain, Partially cloudy",rain
choondacherry,07-05-2002,92.9,81.2,86,76.3,0.084,100,12.5,rain,,11.4,180.8,1008.3,68.8,,,2002-05-07T06:04:19,2002-05-07T18:35:06,"Rain, Partially cloudy",rain
choondacherry,08-05-2002,91.5,80,87.2,70.8,0,0,0,,,9.2,255.5,1009.3,50,,,2002-05-08T06:04:03,2002-05-08T18:35:15,Partially cloudy,partly-cloudy-day
choondacherry,09-05-2002,91.5,82.7,86.6,77.7,0.068,100,20.83,rain,,11.4,292.3,1010.9,51.7,,,2002-05-09T06:03:47,2002-05-09T18:35:25,"Rain, Partially cloudy",rain
choondacherry,10-05-2002,89.7,80.9,86,73.6,0.04,100,8.33,rain,,11.4,293.1,1010.9,60,,,2002-05-10T06:03:32,2002-05-10T18:35:34,"Rain, Partially cloudy",rain
choondacherry,11-05-2002,91.5,80.3,86.5,71.9,0.008,100,4.17,rain,,13.9,322.2,1009.1,57.5,,,2002-05-11T06:03:18,2002-05-11T18:35:44,"Rain, Partially cloudy",rain
choondacherry,12-05-2002,86.6,82.5,84.3,82.5,0.582,100,12.5,rain,,11.4,282.6,1007.8,70,,,2002-05-12T06:03:05,2002-05-12T18:35:55,"Rain, Partially cloudy",rain
choondacherry,13-05-2002,81.8,77.3,79.8,93.2,1.15,100,8.33,rain,,13.9,223.9,1010,81.4,,,2002-05-13T06:02:52,2002-05-13T18:36:06,"Rain, Partially cloudy",rain
choondacherry,14-05-2002,89.7,76.4,84.6,76.9,3.701,100,4.17,rain,,11.4,316.1,1009.8,60,,,2002-05-14T06:02:40,2002-05-14T18:36:17,"Rain, Partially cloudy",rain
choondacherry,15-05-2002,89.9,77.6,84.7,80.4,0.591,100,4.17,rain,,11.4,319.7,1008.8,65,,,2002-05-15T06:02:29,2002-05-15T18:36:28,"Rain, Partially cloudy",rain
choondacherry,16-05-2002,88.4,81.8,84.9,80.5,0.304,100,8.33,rain,,11.4,306.1,1007.4,73.3,,,2002-05-16T06:02:19,2002-05-16T18:36:40,"Rain, Partially cloudy",rain
choondacherry,17-05-2002,82.7,78.9,80.6,89.6,1.417,100,8.33,rain,,9.2,275.8,1008.4,73.3,,,2002-05-17T06:02:09,2002-05-17T18:36:52,"Rain, Partially cloudy",rain
choondacherry,18-05-2002,84.5,75.5,79,91.2,1.142,100,12.5,rain,,17.9,276.3,1009.4,88.6,,,2002-05-18T06:02:00,2002-05-18T18:37:05,"Rain, Partially cloudy",rain
